Sample in Buffer,Sample in Window,TRIGGER,dbg_txdata[31:0],dbg_txdatak[3:0],debug_state[20:0],dbg_rxstatus[2:0],dbg_rxdata[31:0],dbg_rxdatak[3:0],pcie_phy_top_inst/pcie_ltssm_downstream_inst/ordered_set_sent_cnt_r[15:0],pcie_phy_top_inst/pcie_ltssm_downstream_inst/gen_cnt_ts1[0].ts1_cnt[7:0],pcie_phy_top_inst/phy_receive_inst/gen_lane_descramble[0].ordered_set_handler_inst/curr_state[7:0],pipe_wrapper_i/rxvalid_cnt[4:0],dbg_phystatus,dbg_rxelecidle,dbg_txdetectrx,dbg_txelecidle,pipe_wrapper_i/gt_rxvalid,pcie_phy_top_inst/pcie_ltssm_downstream_inst/link_idle_satisfied,link_up,pipe_wrapper_i/rst_idle_reg,pcie_phy_top_inst/pcie_ltssm_downstream_inst/single_idle_received,pcie_phy_top_inst/ordered_set_tranmitted
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00004545,0,000042,0,00004a4a,0,3d37,00,01,10,0,0,0,0,1,0,0,1,0,0
1,1,0,00004545,0,000042,0,00004a4a,0,3d37,00,01,10,0,0,0,0,1,0,0,1,0,0
2,2,0,00004545,0,000042,0,0000bc4a,2,3d37,00,01,10,0,0,0,0,1,0,0,1,0,0
3,3,0,00004545,0,000042,0,0000f7f7,3,3d37,00,01,10,0,0,0,0,1,0,0,1,0,0
4,4,0,0000f7bc,3,000042,0,00005eff,0,3d37,00,01,10,0,0,0,0,1,0,0,1,0,0
5,5,0,0000fff7,1,000042,0,00004a00,0,3d37,00,01,10,0,0,0,0,1,0,0,1,0,0
6,6,0,00000002,0,000042,0,00004a4a,0,3d37,00,01,10,0,0,0,0,1,0,0,1,0,0
7,7,0,00004545,0,000042,0,00004a4a,0,3d37,00,01,10,0,0,0,0,1,0,0,1,0,1
8,8,0,00004545,0,000042,0,00004a4a,0,3d38,00,01,10,0,0,0,0,1,0,0,1,0,0
9,9,0,00004545,0,000042,0,00004a4a,0,3d38,00,01,10,0,0,0,0,1,0,0,1,0,0
10,10,0,00004545,0,000042,0,0000bc4a,2,3d38,00,01,10,0,0,0,0,1,0,0,1,0,0
